Index,F1_25,F2_25,F3_25,F1_50,F2_50,F3_50,F1_75,F2_75,F3_75
568,813.09,1560.65,2362.12,822.99,1500.94,2343.32,741.88,1449.98,2278.67
569,812.89,1560.81,2362.13,822.91,1501.01,2343.33,741.66,1450.01,2278.67
570,812.68,1560.96,2362.14,822.83,1501.08,2343.34,741.44,1450.03,2278.67
571,812.47,1561.11,2362.15,822.75,1501.15,2343.35,741.22,1450.05,2278.67
572,812.26,1561.26,2362.16,822.67,1501.22,2343.37,741.00,1450.08,2278.68
573,812.04,1561.42,2362.18,822.59,1501.29,2343.38,740.78,1450.10,2278.68
574,811.83,1561.57,2362.19,822.51,1501.36,2343.39,740.56,1450.12,2278.68
575,811.62,1561.72,2362.20,822.42,1501.43,2343.40,740.34,1450.14,2278.68
576,811.40,1561.87,2362.21,822.34,1501.50,2343.42,740.12,1450.16,2278.68
577,811.19,1562.03,2362.22,822.26,1501.57,2343.43,739.90,1450.18,2278.68
578,810.97,1562.18,2362.23,822.17,1501.64,2343.44,739.68,1450.21,2278.68
579,810.75,1562.33,2362.24,822.09,1501.71,2343.45,739.46,1450.23,2278.68
580,810.54,1562.49,2362.25,822.00,1501.78,2343.47,739.24,1450.25,2278.68
581,810.32,1562.64,2362.26,821.92,1501.85,2343.48,739.02,1450.27,2278.68
582,810.10,1562.79,2362.27,821.83,1501.92,2343.49,738.80,1450.29,2278.68
583,809.88,1562.94,2362.28,821.74,1501.99,2343.50,738.58,1450.31,2278.68
584,809.65,1563.10,2362.29,821.66,1502.06,2343.52,738.36,1450.33,2278.68
585,809.43,1563.25,2362.29,821.57,1502.13,2343.53,738.14,1450.35,2278.68
586,809.21,1563.40,2362.30,821.48,1502.20,2343.54,737.92,1450.36,2278.68
587,808.98,1563.56,2362.31,821.39,1502.28,2343.55,737.70,1450.38,2278.68
588,808.76,1563.71,2362.32,821.30,1502.35,2343.57,737.48,1450.40,2278.67
589,808.53,1563.86,2362.32,821.21,1502.42,2343.58,737.26,1450.42,2278.67
590,808.30,1564.02,2362.33,821.12,1502.49,2343.59,737.04,1450.44,2278.67
591,808.08,1564.17,2362.34,821.02,1502.56,2343.60,736.81,1450.46,2278.67
592,807.85,1564.32,2362.34,820.93,1502.63,2343.62,736.59,1450.47,2278.66
593,807.62,1564.48,2362.35,820.84,1502.70,2343.63,736.37,1450.49,2278.66
594,807.39,1564.63,2362.35,820.74,1502.78,2343.64,736.15,1450.51,2278.66
595,807.15,1564.78,2362.36,820.65,1502.85,2343.65,735.93,1450.53,2278.65
596,806.92,1564.94,2362.36,820.55,1502.92,2343.67,735.71,1450.54,2278.65
597,806.69,1565.09,2362.37,820.45,1502.99,2343.68,735.49,1450.56,2278.65
598,806.45,1565.24,2362.37,820.36,1503.06,2343.69,735.27,1450.58,2278.64
599,806.22,1565.40,2362.38,820.26,1503.14,2343.71,735.05,1450.59,2278.64
600,805.98,1565.55,2362.38,820.16,1503.21,2343.72,734.83,1450.61,2278.63
601,805.74,1565.70,2362.38,820.06,1503.28,2343.73,734.60,1450.62,2278.63
602,805.51,1565.86,2362.39,819.96,1503.35,2343.74,734.38,1450.64,2278.62
603,805.27,1566.01,2362.39,819.86,1503.43,2343.76,734.16,1450.66,2278.62
