Index,M1,M2,M3,M4,skew,kurt
980,3574.68,1284721.31,2528241216.10,9280922515293.32,1.71,2.65
981,3571.10,1280251.69,2524732919.42,9273866974310.85,1.72,2.68
982,3567.53,1275796.76,2521165437.30,9266685583380.04,1.73,2.71
983,3563.98,1271356.89,2517539825.47,9259378836393.18,1.73,2.74
984,3560.43,1266932.44,2513857146.68,9251947237291.05,1.74,2.77
985,3556.89,1262523.76,2510118470.49,9244391300092.05,1.74,2.80
986,3553.36,1258131.21,2506324873.01,9236711548910.05,1.75,2.83
987,3549.85,1253755.13,2502477436.66,9228908517983.74,1.75,2.86
988,3546.34,1249395.87,2498577249.96,9220982751689.51,1.76,2.89
989,3542.84,1245053.78,2494625407.21,9212934804575.10,1.77,2.92
990,3539.35,1240729.19,2490623008.34,9204765241372.01,1.77,2.95
991,3535.87,1236422.43,2486571158.58,9196474637022.82,1.78,2.98
992,3532.40,1232133.84,2482470968.18,9188063576699.98,1.78,3.01
993,3528.94,1227863.73,2478323552.22,9179532655826.08,1.79,3.04
994,3525.49,1223612.44,2474130030.33,9170882480098.61,1.79,3.07
995,3522.05,1219380.27,2469891526.36,9162113665505.42,1.80,3.10
996,3518.61,1215167.54,2465609168.13,9153226838347.33,1.80,3.13
997,3515.19,1210974.56,2461284087.22,9144222635257.25,1.81,3.16
998,3511.77,1206801.62,2456917418.57,9135101703219.47,1.82,3.19
999,3508.37,1202649.03,2452510300.30,9125864699588.57,1.82,3.22
1000,3504.97,1198517.08,2448063873.34,9116512292108.28,1.83,3.25
1001,3501.58,1194406.05,2443579281.18,9107045158932.03,1.83,3.28
1002,3498.20,1190316.23,2439057669.56,9097463988634.68,1.84,3.31
1003,3494.82,1186247.89,2434500186.16,9087769480237.41,1.84,3.35
1004,3491.46,1182201.31,2429907980.31,9077962343222.46,1.85,3.38
1005,3488.10,1178176.75,2425282202.66,9068043297546.59,1.85,3.41
1006,3484.75,1174174.46,2420624004.86,9058013073664.54,1.86,3.44
1007,3481.41,1170194.72,2415934539.28,9047872412538.11,1.86,3.47
1008,3478.08,1166237.76,2411214958.65,9037622065659.64,1.87,3.50
1009,3474.76,1162303.82,2406466415.74,9027262795059.82,1.88,3.53
1010,3471.44,1158393.15,2401690063.03,9016795373329.72,1.88,3.57
1011,3468.13,1154505.97,2396887052.38,9006220583632.18,1.89,3.60
1012,3464.83,1150642.51,2392058534.71,8995539219716.25,1.89,3.63
1013,3461.53,1146802.98,2387205659.57,8984752085934.29,1.90,3.66
1014,3458.25,1142987.59,2382329574.92,8973859997251.83,1.90,3.69
1015,3454.97,1139196.56,2377431426.68,8962863779264.02,1.91,3.72
1016,3451.69,1135430.07,2372512358.40,8951764268208.76,1.91,3.75
1017,3448.43,1131688.32,2367573510.95,8940562310977.26,1.92,3.79
1018,3445.17,1127971.49,2362616022.03,8929258765129.20,1.92,3.82
1019,3441.92,1124279.75,2357641025.95,8917854498903.54,1.93,3.85
1020,3438.68,1120613.28,2352649653.16,8906350391229.01,1.93,3.88
1021,3435.44,1116972.24,2347643029.89,8894747331737.88,1.94,3.91
1022,3432.21,1113356.78,2342622277.78,8883046220776.35,1.95,3.95
1023,3428.98,1109767.05,2337588513.49,8871247969413.60,1.95,3.98
1024,3425.77,1106203.18,2332542848.31,8859353499452.20,1.96,4.01
1025,3422.56,1102665.32,2327486387.76,8847363743441.01,1.96,4.04
1026,3419.35,1099153.57,2322420231.19,8835279644681.29,1.97,4.08
1027,3416.15,1095668.06,2317345471.37,8823102157237.62,1.97,4.11
1028,3412.96,1092208.89,2312263194.09,8810832245944.48,1.98,4.14
1029,3409.77,1088776.16,2307174477.76,8798470886420.44,1.98,4.17
1030,3406.59,1085369.95,2302080392.95,8786019065065.89,1.99,4.21
1031,3403.42,1081990.36,2296982002.02,8773477779081.16,1.99,4.24
1032,3400.25,1078637.45,2291880358.65,8760848036468.24,2.00,4.27
1033,3397.09,1075311.28,2286776507.41,8748130856037.27,2.00,4.30
1034,3393.93,1072011.92,2281671483.39,8735327267415.63,2.01,4.34
1035,3390.78,1068739.39,2276566311.65,8722438311052.50,2.01,4.37
1036,3387.64,1065493.75,2271462006.87,8709465038224.62,2.02,4.40
1037,3384.50,1062275.01,2266359572.86,8696408511041.04,2.02,4.43
1038,3381.36,1059083.20,2261260002.08,8683269802449.14,2.03,4.47
1039,3378.24,1055918.31,2256164275.25,8670049996238.46,2.03,4.50
1040,3375.11,1052780.35,2251073360.82,8656750187044.53,2.04,4.53
1041,3371.99,1049669.31,2245988214.54,8643371480352.52,2.05,4.57
1042,3368.88,1046585.15,2240909778.96,8629914992502.07,2.05,4.60
1043,3365.77,1043527.86,2235838982.98,8616381850686.75,2.06,4.63
1044,3362.67,1040497.37,2230776741.36,8602773192960.67,2.06,4.67
1045,3359.57,1037493.65,2225723954.20,8589090168237.87,2.07,4.70
1046,3356.48,1034516.62,2220681506.50,8575333936292.86,2.07,4.73
1047,3353.39,1031566.20,2215650267.62,8561505667766.20,2.08,4.77
1048,3350.31,1028642.32,2210631090.80,8547606544160.68,2.08,4.80
1049,3347.23,1025744.88,2205624812.67,8533637757844.66,2.09,4.83
1050,3344.16,1022873.75,2200632252.68,8519600512050.35,2.09,4.87
1051,3341.09,1020028.84,2195654212.66,8505496020874.64,2.10,4.90
1052,3338.02,1017209.99,2190691476.23,8491325509277.19,2.10,4.93
1053,3334.96,1014417.07,2185744808.32,8477090213078.67,2.11,4.97
1054,3331.91,1011649.93,2180814954.61,8462791378963.54,2.11,5.00
1055,3328.85,1008908.39,2175902641.04,8448430264469.26,2.12,5.03
1056,3325.81,1006192.28,2171008573.20,8434008137992.50,2.12,5.07
1057,3322.77,1003501.40,2166133435.85,8419526278780.94,2.13,5.10
1058,3319.73,1000835.55,2161277892.32,8404985976931.08,2.13,5.14
1059,3316.69,998194.51,2156442583.97,8390388533386.51,2.14,5.17
1060,3313.66,995578.05,2151628129.67,8375735259929.72,2.14,5.20
1061,3310.64,992985.93,2146835125.16,8361027479180.34,2.15,5.24
1062,3307.62,990417.90,2142064142.55,8346266524588.13,2.15,5.27
1063,3304.60,987873.68,2137315729.68,8331453740429.62,2.16,5.31
1064,3301.59,985352.99,2132590409.60,8316590481800.40,2.16,5.34
1065,3298.58,982855.55,2127888679.93,8301678114608.31,2.17,5.38
1066,3295.57,980381.02,2123211012.32,8286718015567.34,2.17,5.41
1067,3292.57,977929.10,2118557851.81,8271711572190.30,2.18,5.45
1068,3289.58,975499.45,2113929616.26,8256660182780.58,2.18,5.48
1069,3286.59,973091.71,2109326695.71,8241565256424.60,2.19,5.52
1070,3283.60,970705.52,2104749451.81,8226428212981.78,2.19,5.55
1071,3280.61,968340.50,2100198217.17,8211250483075.63,2.20,5.59
1072,3277.63,965996.25,2095673294.75,8196033508085.12,2.20,5.62
1073,3274.66,963672.37,2091174957.23,8180778740136.92,2.21,5.66
1074,3271.68,961368.42,2086703446.39,8165487642086.30,2.21,5.69
1075,3268.72,959083.97,2082258972.47,8150161687515.21,2.22,5.73
1076,3265.75,956818.57,2077841713.47,8134802360718.27,2.22,5.76
1077,3262.79,954571.74,2073451814.62,8119411156686.98,2.23,5.80
1078,3259.84,952342.99,2069089387.59,8103989581104.47,2.23,5.83
1079,3256.89,950131.83,2064754509.94,8088539150323.09,2.24,5.87
1080,3253.94,947937.74,2060447224.40,8073061391359.98,2.24,5.90
1081,3250.99,945760.17,2056167538.21,8057557841879.21,2.25,5.94
1082,3248.06,943598.59,2051915422.44,8042030050178.24,2.25,5.98
1083,3245.12,941452.42,2047690811.35,8026479575170.04,2.26,6.01
1084,3242.19,939321.08,2043493601.64,8010907986376.62,2.26,6.05
1085,3239.26,937203.97,2039323651.79,7995316863901.66,2.27,6.08
1086,3236.34,935100.48,2035180781.36,7979707798422.18,2.27,6.12
1087,3233.43,933009.95,2031064770.31,7964082391168.30,2.28,6.16
1088,3230.51,930931.76,2026975358.26,7948442253912.80,2.28,6.19
1089,3227.61,928865.21,2022912243.80,7932789008942.79,2.29,6.23
1090,3224.70,926809.64,2018875083.73,7917124289047.32,2.29,6.27
